Name,UTM Easting,UTM Northing,Year
Untitled Placemark,573089.8705649364,4924483.7276986735,1978
Untitled Placemark,573283.959783034,4924862.529151135,1978
Untitled Placemark,573231.774530172,4924905.606639028,1978
Untitled Placemark,573039.8697805565,4924709.706387865,1978
Untitled Placemark,573203.5672194249,4924700.289367322,1978
Untitled Placemark,573323.0056342541,4924654.4250655,1978
Untitled Placemark,573075.8652027093,4924916.836394001,1978
Untitled Placemark,573034.6055154975,4924904.768421673,1978
Untitled Placemark,573041.2848749548,4924881.770407282,1978
Untitled Placemark,573046.7632986393,4924852.912297582,1978
Untitled Placemark,572933.5571947822,4924912.825708829,1978
Untitled Placemark,572905.6489013861,4924828.932329103,1978
Untitled Placemark,572901.2290470449,4924843.915257226,1978
Untitled Placemark,573062.8913312152,4924970.802683114,1978
Untitled Placemark,573069.3588720531,4924942.785157734,1978
Untitled Placemark,573217.3989638541,4924961.254482066,1978
Untitled Placemark,573211.0088122365,4924991.0755442735,1978
Untitled Placemark,573191.5333953324,4925068.187261919,1978
Untitled Placemark,573190.1456468909,4925096.128925919,1978
Untitled Placemark,573181.8697208352,4925047.372061415,1978
Untitled Placemark,573172.2772148107,4924964.620552736,1978
Untitled Placemark,573000.6360313093,4925050.0812181905,1978
Untitled Placemark,573010.1109857195,4924996.268656299,1978
Untitled Placemark,572974.3889306512,4924946.592105394,1978
Untitled Placemark,572964.2913350277,4924989.370383942,1978
Untitled Placemark,572984.367540566,4924894.518028893,1978
Untitled Placemark,572995.3019380419,4924849.164405807,1978
Untitled Placemark,572784.197981108,4924660.848755437,1978
Untitled Placemark,572806.1238703892,4924591.901309024,1978
Untitled Placemark,572735.07031191,4924606.126432933,1978
Untitled Placemark,572742.8885831094,4924572.66298057,1978
Untitled Placemark,572749.1879196722,4924548.492628323,1978
Untitled Placemark,572731.2485886727,4924649.890306678,1978
Untitled Placemark,572599.1723509749,4924502.293975427,1978
Untitled Placemark,573755.146475309,4924165.214353508,1978
Untitled Placemark,573786.7026959616,4924175.9312898945,1978
Untitled Placemark,573817.1660663118,4924193.720617684,1978
Untitled Placemark,573806.1988400371,4924237.669496946,1978
Untitled Placemark,573826.8270206477,4924303.723313654,1978
Untitled Placemark,573789.4271007762,4924294.942383933,1978
Untitled Placemark,573869.6839726516,4924259.095649693,1978
Untitled Placemark,573885.9925489286,4924325.5098239565,1978
Untitled Placemark,573970.7915790075,4924247.162984717,1978
